scrip_code,symbol
890237,505196
890234,VERTEXPP
890232,KRISHPP
890231,ANIRITPP
890230,ACESEPP
890229,ANNVRPP
890228,ATLPP
890226,SURAJINDPP
890221,SSFLPP
890217,APLABPP
751115,EFCIL-RE
751113,SHAKTI-RE
751111,PANAFIC-RE
751110,GRAVITY-RE
590154,ALPHA
590153,MONIFTY500
590152,MODEFENCE
590151,MOMENTUM50
590150,MOREALTY
590149,MOCAPITAL
590148,MOSMALL250
590144,MID150BEES
590142,PHARMABEES
590141,ITBEES
590139,LIQUID1
590138,SETFNIF50
590137,SETFNIFBK
590136,BANKNIFTY1
590134,MADRASFERT
590115,MOM50
590110,QNIFTY
590109,SHARIABEES
590108,PSUBNKBEES
590107,PSUBANK
590106,BANKBEES
590104,JUNIORBEES
590103,NIFTYBEES
590086,ORISSAMINE
590078,MAITHANALL
590075,LAMBODHARA
590073,WHEELS
590072,SUNDRMBRAK
590071,SUNDARMFIN
590070,RADAAN
590068,KHAITANLTD
590066,KCP
590065,IMPAL
590062,ANDHRSUGAR
590057,EQUIPPP
590056,SALONA
590051,SAKSOFT
590041,KAVDEFENCE
590031,DENORA
590030,SPIC
590025,GINNIFILA
590024,FACT
590022,EASTSILK
590021,BHARATRAS
590018,HISARMETAL
590013,XPROINDIA
590006,AMRUTANJAN
590005,VEEDOL
590003,KARURVYSYA
570005,GATECHDVR
570004,JISLDVREQS
570002,FELDVR
555555,SENSEXIETF
544758,BAGMANE
544757,BSHSL
544756,UNITEDPOLY
544755,RECODE
544754,KISSHT
544753,CITIUSINVT
544752,PSCELESTIA
544751,MTL
544750,OMPOWER
544749,ARSIFHDAD
544748,ONEPOINT
544747,EMIAC
544746,SCDL
544745,SBINMID150
544744,POWERICA
544743,AMIRCHAND
544742,SAIPARENT
544741,HIGHNESS
544740,TIPCO
544739,CMPDI
544738,SPML
544737,VALUE
544735,NOVUS
544734,RIIT
544733,GSPCROP
544732,INNOVISION
544731,RSL
544726,KOTYARK
544725,BANK10ADD
544724,ELFIN
544723,SEDEMAC
544722,SBIMIDMOM
544721,GROWWHOSPI
544720,OMNI
544719,ABSL10BANK
544718,PNGSREVA
544717,CLEANMAX
544716,SRTL
544711,KIAASA
544710,ACCORDTS
544709,GAUDIUMIVF
544708,YASHHTEJ
544707,FIL
544706,ABSLMSCIN
544705,DEFENCE
544704,INFRA
544703,DSFCL
544702,DCMSIL
544701,HEALTHCARE
544700,FRACTAL
544699,AYE
544698,PANHR
544697,ISIFHLSDG
544696,ISIFHLSG
544695,MSAFE
544694,ANL
544693,KANISHK
544692,ARSIFHRHD
544691,ARSIFHDG
544690,ARSIFHRMD
544689,ARSIFHRG
544688,KASTURI
544687,HANNAH
544686,SHAYONAENG
544685,SHADOWFAX
544684,DIGILOGIC
544683,ARITAS
544682,GRERENEW
544681,INDOSMC
544680,NARMADESH
544679,AMAGI
544678,BHARATCOAL
544677,DEFRAIL
544676,YAJUR
544675,GTIL
544674,NEXT50ADD
544673,MDRC
544671,ATIL
544670,BAIKAKAJI
544669,ADMACH
544668,NANTA
544667,DACHEPALLI
544666,GKSL
